identifier,smiles,bus
CIJJEN,CC(=N)N,[7]
CIJJIQ,c1c[nH]cn1,[]
CIJJOW,c1c[nH]cn1,[]
CIJJOX,CC(=N)N,[7]
CIJJUC,c1c[nH]cn1,[]
CIKLOY,CCN(CC)CC,[13]
CIKLUE,CCCCN,[13]
CIKMAL,NCCCCCCN,[13]
CIKMEP,NCCCCCCCN,[13]
CIKMIT,NCCCCCN,[13]
CIKMOZ,NCCCCCCCCN,[13]
CIKMUF,CC(C)(C)N,[13]
CIKNAM,NCCCCN,[13]
CIKNEQ,CC(C)N,[13]
CIKNIU,CCN(CC)CCN,[13]
CIKYIF,CCN(CC)CC,[13]
CIMROI,CNC,[1]
CIMVEB,c1ccncc1,[10]
CIMWAX,C1CNCCNCCCNCCNC1,[1]
CINFOW,c1cc(CCCc2ccncc2)ccn1,[1]
CINKUI,Nc1nc(N)nc(N)n1,[4]
CINLAP,Nc1nc(N)nc(N)n1,[4]
CIQPEZ,c1ccncc1,[5]
CIRBIR,Cc1cccc(N)c1,[1]
CIRVIJ,C1CNCCN1,[2]
CIRVIK,NCCN,[]
CIRVOP,NCCNCCN,[2]
CIRVOQ,NCCN,[]
CISFOA,NCCCN,[1]
CIVPIG10,Nc1ccccn1,[]
CIXGOG,NCCNCCN,[1]
CIXGUM,NCCN(CCN)CCN,[1]
CIXSEI,c1cc(-c2ccncc2)ccn1,[4]
CIXSIM,c1cc(-c2ccncc2)ccn1,[4]
CIXSOS,NCCCNCCNCCCN,[4]
CIXTIN,C1CNCCNC1,[4]
CIYPOS,CCCNCCC,[4]
CIYPUY,CC(C)NC(C)C,[4]
CIYQAF,C1CN2CCN1CC2,[4]
COBRET,CN,[7]
COBSIY,CN,[7]
COBSUK,CN,[7]
COCYOI,c1ccc(-c2ccccn2)nc1,[10]
CODGAE,NC1CCCCC1,[1]
CODLIT,CCN,"[4, 10]"
CODMUF,CC1CNCC(C)N1,[0]
CODNAM,CC1CN(C)CC(C)N1,[0]
COFGOT10,C1N2CN3CN1CN(C2)C3,[]
COFMIU,CC(C)N,[5]
COFMOA,CC(C)N,[5]
COFNIV,NCCCCCN,[]
COGKEP,NCCNCCN,[1]
COGNIW,CNC,"[1, 8]"
COHSEZ,c1ccc2[nH]cnc2c1,[1]
COHSID,c1c[nH]c(-c2ncc[nH]2)n1,[1]
COHXOM,NCCN,[1]
COJVEF,CN1CCNCC1,"[0, 4]"
COJVIJ,CCN1CCNCC1,"[0, 4]"
COKJES,c1ccncc1,[8]
COKZAG,CNC,"[0, 4]"
COKZEK,CNC,"[0, 4]"
COKZIN,c1cn(CCCCn2ccnc2)cn1,[1]
COLMAU,CC(C)NC(C)C,[1]
COLSIG,Cc1nccn1CCCCn1ccnc1C,[]
COLZEJ,c1cc(Nc2ccncc2)ccn1,[1]
COLZOU,c1c[nH]c(-c2ncc[nH]2)n1,[1]
COMQUT,c1cc(Cn2ccnc2)cc(Cn2ccnc2)c1,[]
COPJOJ,CNC,[0]
COPJUP,CNC,[3]
COPKAW,CNC,[]
COPKIE,CNC,[3]
COPKOK,CNC,"[0, 3]"
COPKUQ,CNC,[0]
COPLAX,CNC,[0]
COPLEB,CNC,[3]
COQMIE,CCNC1CC(C)(C)NC(C)(C)C1,[1]
COQNIF,CCCNCCC,[1]
COVCAU,c1ccncc1,[1]
COVJUV,c1c[nH]cn1,[22]
COVMOQ,CNC,[4]
COVVAL,C1CNCCN1,[1]
COVVIT,c1cc(-c2ccncc2)ccn1,[1]
COXHED,CNC,[4]
COXHIH,CNC,[4]
COXHON,CNC,[4]
COXYAP02,c1ccncc1,[]
COZCUS,Nc1ccccn1,[1]
