,encoded_mdes
451,mdes_VR1_Dzv
452,mdes_VR2_Dzv
453,mdes_VR3_Dzv
454,mdes_SpAbs_Dzse
455,mdes_SpMax_Dzse
456,mdes_SpDiam_Dzse
457,mdes_SpAD_Dzse
458,mdes_SpMAD_Dzse
459,mdes_LogEE_Dzse
460,mdes_SM1_Dzse
461,mdes_VE1_Dzse
462,mdes_VE2_Dzse
463,mdes_VE3_Dzse
464,mdes_VR1_Dzse
465,mdes_VR2_Dzse
466,mdes_VR3_Dzse
467,mdes_SpAbs_Dzpe
468,mdes_SpMax_Dzpe
469,mdes_SpDiam_Dzpe
470,mdes_SpAD_Dzpe
471,mdes_SpMAD_Dzpe
472,mdes_LogEE_Dzpe
473,mdes_SM1_Dzpe
474,mdes_VE1_Dzpe
475,mdes_VE2_Dzpe
476,mdes_VE3_Dzpe
477,mdes_VR1_Dzpe
478,mdes_VR2_Dzpe
479,mdes_VR3_Dzpe
480,mdes_SpAbs_Dzare
481,mdes_SpMax_Dzare
482,mdes_SpDiam_Dzare
483,mdes_SpAD_Dzare
484,mdes_SpMAD_Dzare
485,mdes_LogEE_Dzare
486,mdes_SM1_Dzare
487,mdes_VE1_Dzare
488,mdes_VE2_Dzare
489,mdes_VE3_Dzare
490,mdes_VR1_Dzare
491,mdes_VR2_Dzare
492,mdes_VR3_Dzare
493,mdes_SpAbs_Dzp
494,mdes_SpMax_Dzp
495,mdes_SpDiam_Dzp
496,mdes_SpAD_Dzp
497,mdes_SpMAD_Dzp
498,mdes_LogEE_Dzp
499,mdes_SM1_Dzp
500,mdes_VE1_Dzp
501,mdes_VE2_Dzp
502,mdes_VE3_Dzp
503,mdes_VR1_Dzp
504,mdes_VR2_Dzp
505,mdes_VR3_Dzp
506,mdes_SpAbs_Dzi
507,mdes_SpMax_Dzi
508,mdes_SpDiam_Dzi
509,mdes_SpAD_Dzi
510,mdes_SpMAD_Dzi
511,mdes_LogEE_Dzi
512,mdes_SM1_Dzi
513,mdes_VE1_Dzi
514,mdes_VE2_Dzi
515,mdes_VE3_Dzi
516,mdes_VR1_Dzi
517,mdes_VR2_Dzi
518,mdes_VR3_Dzi
519,mdes_BertzCT
520,mdes_nBonds
521,mdes_nBondsO
522,mdes_nBondsS
523,mdes_nBondsD
524,mdes_nBondsT
525,mdes_nBondsA
526,mdes_nBondsM
527,mdes_nBondsKS
528,mdes_nBondsKD
529,mdes_RNCG
530,mdes_RPCG
531,mdes_C1SP1
532,mdes_C1SP2
533,mdes_C2SP2
534,mdes_C3SP2
535,mdes_C1SP3
536,mdes_C2SP3
537,mdes_C3SP3
538,mdes_C4SP3
539,mdes_HybRatio
540,mdes_FCSP3
541,mdes_Xch-3d
542,mdes_Xch-4d
543,mdes_Xch-5d
544,mdes_Xch-6d
545,mdes_Xch-7d
546,mdes_Xch-3dv
547,mdes_Xch-4dv
548,mdes_Xch-5dv
549,mdes_Xch-6dv
550,mdes_Xch-7dv
551,mdes_Xc-3d
552,mdes_Xc-4d
553,mdes_Xc-5d
554,mdes_Xc-6d
555,mdes_Xc-3dv
556,mdes_Xc-4dv
557,mdes_Xc-5dv
558,mdes_Xc-6dv
559,mdes_Xpc-4d
560,mdes_Xpc-5d
561,mdes_Xpc-6d
562,mdes_Xpc-4dv
563,mdes_Xpc-5dv
564,mdes_Xpc-6dv
565,mdes_Xp-0d
566,mdes_Xp-1d
567,mdes_Xp-2d
568,mdes_Xp-3d
569,mdes_Xp-4d
570,mdes_Xp-5d
571,mdes_Xp-6d
572,mdes_Xp-7d
573,mdes_AXp-0d
574,mdes_AXp-1d
575,mdes_Xp-0dv
576,mdes_Xp-1dv
577,mdes_Xp-2dv
578,mdes_Xp-3dv
579,mdes_Xp-4dv
580,mdes_Xp-5dv
581,mdes_Xp-6dv
582,mdes_Xp-7dv
583,mdes_AXp-0dv
584,mdes_AXp-1dv
585,mdes_SZ
586,mdes_Sm
587,mdes_Sv
588,mdes_Sse
589,mdes_Spe
590,mdes_Sare
591,mdes_Sp
592,mdes_Si
593,mdes_MZ
594,mdes_Mm
595,mdes_Mv
596,mdes_Mse
597,mdes_Mpe
598,mdes_Mare
599,mdes_Mp
600,mdes_Mi
601,mdes_SpAbs_D
602,mdes_SpMax_D
603,mdes_SpDiam_D
604,mdes_SpAD_D
605,mdes_SpMAD_D
606,mdes_VE1_D
607,mdes_VE2_D
608,mdes_VE3_D
609,mdes_VR1_D
610,mdes_VR2_D
611,mdes_VR3_D
612,mdes_NsCH3
613,mdes_NdCH2
614,mdes_NssCH2
615,mdes_NdsCH
616,mdes_NaaCH
617,mdes_NsssCH
618,mdes_NtsC
619,mdes_NdssC
620,mdes_NaasC
621,mdes_NaaaC
622,mdes_NssssC
623,mdes_NsNH2
624,mdes_NdNH
625,mdes_NssNH
626,mdes_NaaNH
627,mdes_NtN
628,mdes_NdsN
629,mdes_NaaN
630,mdes_NsssN
631,mdes_NaasN
632,mdes_SsCH3
633,mdes_SdCH2
634,mdes_SssCH2
635,mdes_SdsCH
636,mdes_SaaCH
637,mdes_SsssCH
638,mdes_StsC
639,mdes_SdssC
640,mdes_SaasC
641,mdes_SaaaC
642,mdes_SssssC
643,mdes_SsNH2
644,mdes_SdNH
645,mdes_SssNH
646,mdes_SaaNH
647,mdes_StN
648,mdes_SdsN
649,mdes_SaaN
650,mdes_SsssN
651,mdes_SaasN
652,mdes_ECIndex
653,mdes_ETA_alpha
654,mdes_AETA_alpha
655,mdes_ETA_shape_p
656,mdes_ETA_shape_y
657,mdes_ETA_shape_x
658,mdes_ETA_beta
659,mdes_AETA_beta
660,mdes_ETA_beta_s
661,mdes_AETA_beta_s
662,mdes_ETA_beta_ns
663,mdes_AETA_beta_ns
664,mdes_ETA_beta_ns_d
665,mdes_AETA_beta_ns_d
666,mdes_ETA_eta
667,mdes_AETA_eta
668,mdes_ETA_eta_L
669,mdes_AETA_eta_L
670,mdes_ETA_eta_R
671,mdes_AETA_eta_R
672,mdes_ETA_eta_RL
673,mdes_AETA_eta_RL
674,mdes_ETA_eta_F
675,mdes_AETA_eta_F
676,mdes_ETA_eta_FL
677,mdes_AETA_eta_FL
678,mdes_ETA_eta_B
679,mdes_AETA_eta_B
680,mdes_ETA_eta_BR
681,mdes_AETA_eta_BR
682,mdes_ETA_dAlpha_B
683,mdes_ETA_epsilon_1
684,mdes_ETA_epsilon_2
685,mdes_ETA_epsilon_3
686,mdes_ETA_epsilon_4
687,mdes_ETA_epsilon_5
688,mdes_ETA_dEpsilon_A
689,mdes_ETA_dEpsilon_B
690,mdes_ETA_dEpsilon_C
691,mdes_ETA_dEpsilon_D
692,mdes_ETA_dBeta
693,mdes_AETA_dBeta
694,mdes_ETA_psi_1
695,mdes_ETA_dPsi_A
696,mdes_fragCpx
697,mdes_fMF
698,mdes_nHBAcc
699,mdes_nHBDon
700,mdes_IC0
701,mdes_IC1
702,mdes_IC2
703,mdes_IC3
704,mdes_IC4
705,mdes_IC5
706,mdes_TIC0
707,mdes_TIC1
708,mdes_TIC2
709,mdes_TIC3
710,mdes_TIC4
711,mdes_TIC5
712,mdes_SIC0
713,mdes_SIC1
714,mdes_SIC2
715,mdes_SIC3
716,mdes_SIC4
717,mdes_SIC5
