identifier,comment,SDES_CompositionFormula,SDES_Dimension,SDES_FormalCharge,SDES_LatticeVolume
BOWRAH,,Fe6 B4 P8 H16 O44,3.0,-1.0,915.9481415738055
BOWSOW,,V4 P8 H4 O28,3.0,-4.0,981.5797545252201
BOWSUC,,V12 P16 H16 O56 F8,3.0,-12.0,1827.6132280392
BOXWAN,,Al2 B10 O20,3.0,-4.0,560.3259344435
BOXWER,,Al4 B20 O40,3.0,-8.0,1196.4800417441056
BOXWIV,,Al4 B20 O40,3.0,-8.0,1493.8209038453854
BOXYAQ,,Mn16 P8 H8 C32 O96,3.0,-16.0,2954.8994474137253
BOXYEU,,Mn8 P4 H8 C16 O48,3.0,-4.0,1500.099512156616
BOXYIY,,Mn6 P4 H6 C12 O40,3.0,-6.0,1304.4063112609738
BUAMDW10,,W20 O64,0.0,-8.0,3963.0215313378217
BUBQOE,,U8 P16 H24 O64,3.0,-8.0,1944.8148843908186
BUCREZ,,Cr2 H8 C8 O20,0.0,-2.0,826.4159101220257
BUCRID,,Cr8 C48 O96,0.0,-24.0,6808.834429683
BUGWUV,,Mo18 As2 O62,0.0,-6.0,1851.3612387320138
BURHIG,,Co4 P8 H8 O24,1.0,-8.0,1098.3027479003233
BURHUS,,Co12 P16 H16 O48,3.0,-8.0,1997.6224686642513
BUTHUU,,Ni8 As4 W36 O140,0.0,-12.0,4774.139349406112
BUWKEL,,Mo48 P4 O160,0.0,-12.0,4479.951577530001
BUWZUP,,Mo16 O52,1.0,-8.0,2048.5068066216168
CACKOI,,As4 W36 O124,0.0,-12.0,3355.7496209497576
CADPED,,Zn4 P8 H8 O24,1.0,-8.0,1140.3903278357764
CADPIH,,Ga12 P14 H6 O60 F4,3.0,-12.0,1804.0747134232172
CAFKIG,,Cr4 O12 F4,0.0,-4.0,622.6650360000001
CAGXIS,,Co4 P4 Cl4 O16,2.0,-4.0,1027.189527751688
CAGZOA,,Zn8 P16 O64,2.0,-8.0,1684.063866491182
CAGZUG,,Zn4 P8 O32,1.0,-8.0,982.5002360204757
CAHBET,,Zn12 P16 O64,2.0,-8.0,2256.3397546167394
CAHFOH,,Ga4 P4 O16 F4,2.0,-4.0,1006.86104280983
CAHMAZ,,Bi4 C12 Cl6 O24,3.0,-9.0,1146.2196419010368
CAHQOS,,Al8 P8 O34,3.0,-2.0,863.7696481069723
CAHSOU,,Fe20 P28 O112 F16,3.0,-16.0,2953.052003290384
CAHVEN,,V6 P4 O28,2.0,-4.0,704.0404279207244
CAKSOY,,Ni6 As2 W18 O80,0.0,-6.0,1985.186680725652
CANCUR,,Si20 O40,3.0,0.0,1132.3590038560003
CANFUS,,Mo8 O26,0.0,-4.0,1009.31449968912
CANVEV,,Mo20 P8 O92,0.0,-24.0,3542.844808233001
CANZIB,,Sc3 P6 H3 O26,1.0,-6.0,737.7177700148609
CANZOH,,Sc8 P14 O62,3.0,0.0,1572.3553273720588
CANZUN,,Sc10 P16 O64 F8,2.0,-10.0,1916.2998562074206
CAPBAX,,Sc8 P16 O64 F8,2.0,-8.0,2592.6149344500004
CAPBEB,,V4 Te12 O36,3.0,-8.0,1181.5280661732877
CAPBIF,,Zn2 P8 H16 O32,0.0,-4.0,1187.0558671378378
CAPBOL,,Zn8 P20 H28 O80,2.0,-16.0,3674.5298841715385
CAPCEC,,La4 Co2 S12 O52,3.0,-10.0,1248.9225136550233
CAPCIG,,La4 Ni2 S12 O52,3.0,-10.0,1222.332566496304
CAPTIZ,,U4 H8 Se8 O44,1.0,-10.0,1786.9642126588801
CAPTOF,,U4 H4 Se12 O56,1.0,-12.0,2178.8131166800877
CAPTUL,,U2 H4 Se4 O22,1.0,-4.0,679.6310000298297
CAPVAT,,U4 H4 Se8 O36,2.0,-4.0,1076.8627796066964
CAQJOV,,Na8 Cu8 Ge8 Mo72 O304,0.0,-16.0,8580.062008633546
CAQWOJ,,Li2 Cu3 P12 H28 O50,2.0,-4.0,1186.553281678469
CASHUA,,Fe2 H2 S4 O18,1.0,-4.0,823.8586958907896
CASJEM,,Zr4 S16 O64,0.0,-16.0,3212.1016732800003
CASNIU,,Mo8 O26,1.0,-4.0,793.7883847966108
CASQIY,,Mo48 P4 O160,0.0,-12.0,5691.2935584576
CAVMIW,,Fe8 H4 C16 Cl8 O36,3.0,-4.0,1603.4527102660788
CAWTOM,,Mo20 P8 O92,0.0,-20.0,5231.632281858316
CAXHAK,,U2 C16 O20 F24,0.0,0.0,2630.769696166919
CAXPEX,,V8 O40 F8,0.0,-16.0,1372.09388929145
CAYSOL,,Fe16 C32 Cl16 O72,3.0,-15.0,3228.259415832
CAZXUY,,Al12 P16 O64,2.0,-12.0,2689.034549006625
CAZYAF,,Al6 P8 O32,2.0,0.0,1368.4673582566077
CEDTIR,,Mo16 O52,0.0,-8.0,4136.5905044612955
CEHQAJ,,V4 O12,1.0,-4.0,965.6601056672076
CEHQEN,,V8 O24,1.0,-8.0,1071.0378891213518
CEHQIR,,V8 O24,1.0,-8.0,1070.1244692942294
CEHYOF,,In12 P12 H4 O56,3.0,-8.0,1328.4993021355187
CEJLEI,,Mo32 O104,0.0,-16.0,4491.601005607463
CEJVET,,Ce16 S32 O144,3.0,-16.0,3492.7914644031093
CEJVIX,,Ce8 S20 O88,3.0,0.0,2317.361242802685
CELFIJ,,Fe12 H84 C56 O68,0.0,0.0,3123.7088680512
CEMLIP,,Mo12 O40,1.0,-8.0,1549.9510603412634
CEQBUV,,Zn54 P54 H18 O216,3.0,-36.0,8928.295194623815
CERLET,,Mo48 P4 O160,0.0,-12.0,4622.329712964831
CERVUR,,Zn8 P8 H8 Cl8 O32,2.0,-8.0,2228.9068089163043
CETJIX,,K16 Dy4 Fe24 Ge12 W96 O384,0.0,-44.0,14255.9339324472
CETJUJ,,K16 Tb4 Fe24 Ge12 W96 O384,0.0,-44.0,14260.64411149837
CETSIG,,Cu4 C16 O32,1.0,-8.0,1440.952534065937
CETSOM,,Cu1 C4 O8,0.0,-2.0,385.8462695769257
CEWJIZ,,Mo16 O52,0.0,-8.0,1607.662932851117
CEYZIR,,U4 C12 O32,2.0,-4.0,1523.9604841922633
CHAMMO,,Mo4 O16,0.0,-8.0,1627.7096854664114
CICZEU,,Cu8 H20 S8 O44,1.0,-4.0,1312.1628938918675
CIDJOO,,Mo16 O52,0.0,-8.0,2044.7551218624399
CIJGEK,,Ni4 H16 C16 O32,2.0,-8.0,1453.8781318968001
CIJJEN,,Co4 H16 C16 O32,2.0,-8.0,1478.5126584074003
CIJJOX,,Co4 H16 C16 O32,2.0,-8.0,1483.520740280036
CIKLOY,,U4 H4 Se6 O34,2.0,-4.0,1153.557602118805
CIKLUE,,U8 H8 Se12 O68,2.0,-8.0,2060.5569286348987
CIKMAL,,U4 H4 Se6 O34,2.0,-4.0,1110.045804229983
CIKMEP,,U4 H4 Se6 O34,2.0,-4.0,1154.1516601726905
CIKMIT,,U4 H4 Se6 O34,2.0,-4.0,1042.71754632119
CIKMOZ,,U4 H4 Se6 O34,2.0,-4.0,1178.0632329391372
CIKMUF,,U8 H8 Se12 O68,2.0,-8.0,2448.1480304115644
CIKNAM,,U8 H8 Se12 O68,2.0,-8.0,2133.0149718393477
CIKNEQ,,U8 H8 Se12 O68,2.0,-8.0,2376.754732014037
CIKNIU,,U8 H8 Se12 O68,2.0,-8.0,2267.907500850606
CIKYIF,,U8 H8 Se12 O68,2.0,-8.0,2403.403041496127
CIMROI,,Mo144 P12 O480,0.0,-36.0,11682.254909549036
CIMVEB,,Pt2 N12 O36,0.0,-4.0,1076.3328011442657
CINFOW,,Mo72 P6 O240,0.0,-18.0,7361.975583846642
CINKUI,,Ce4 H8 C16 O36,2.0,-4.0,1511.7363663389756
CINLAP,,Gd8 H16 C32 O72,2.0,-8.0,2854.7131651902337
CIRBIR,,Mo10 P4 H4 O46,0.0,-8.0,2165.212461891254
CIRVIJ,,Ti32 S64 O288,0.0,-64.0,11858.559633521869
CIRVOP,,Ti32 S64 O288,0.0,-64.0,9622.153911864438
CISFOA,,Ga12 P16 O64,2.0,-12.0,2641.806442046615
CIVPIG10,,Mo28 O96,0.0,-24.0,5157.684837835105
CIXGOG,,U4 P6 H2 O24 F6,2.0,-6.0,815.9542429683735
CIXGUM,,U8 P12 H8 O48 F16,1.0,-12.0,2021.7050047830173
CIXSEI,,Sn4 C16 O32,0.0,-8.0,1514.0556302599998
CIXSIM,,Sn2 C6 O12,0.0,-4.0,705.4419049786453
CIXSOS,,Sn2 C8 O16,1.0,-4.0,667.1047842327209
CIXTIN,,Sn16 C48 O96,2.0,-16.0,4041.266515088412
CIYPOS,,Mo8 C16 O56,0.0,-16.0,4339.895202118344
CIYPUY,,Mo2 C4 O14,0.0,-4.0,1004.2797695416489
CIYQAF,,Mo4 C8 O28,0.0,-8.0,1892.914983946797
COBRET,,Na2 Cr2 H12 C12 O24,3.0,-4.0,842.3338489368836
COBSIY,,K2 Al2 H12 C12 O24,3.0,-4.0,911.4317300192665
COBSUK,,K2 Cr2 H12 C12 O24,3.0,-4.0,922.470291325245
COCYOI,,Th2 N12 O36,0.0,-4.0,2034.28013547498
CODLIT,,Cu4 H4 C16 N2 O40,0.0,-6.0,1717.5320222006217
CODMUF,,Zn12 P16 H12 O48,3.0,-8.0,1959.9718979267002
CODNAM,,Zn12 P16 H16 O48,3.0,-8.0,2096.321568544506
COFNIV,,V12 O28,2.0,-8.0,860.7899455102489
COGKEP,,Zn18 Co3 P18 O72,3.0,0.0,2388.3338803771553
COGNIW,,Ce4 Mn24 P8 H96 W64 C64 O336,0.0,-24.0,13319.598768678035
COHSEZ,,Mo20 P8 O92,0.0,-20.0,5238.101891919956
